Reversal of Fortune;;78;;92;;R;;When socialite Sunny von Bülow (Glenn Close) inexplicably slips into an irreversible coma, police suspect foul play -- and the obvious suspect is her urbane husband, Claus (Jeremy Irons). After being found guilty of murder, Claus is granted a retrial and hires showboat Harvard Law professor Alan Dershowitz (Ron Silver) to represent him. Though unconvinced of Claus's innocence, Dershowitz enjoys a challenge and -- along with a group of his students -- fights to have the verdict overturned.;;Drama;;Barbet Schroeder;;1990;;Glenn Close,Jeremy Irons,Ron Silver,Annabella Sciorra,Uta Hagen,Fisher Stevens,Christine Baranski,Mano Singh,Felicity Huffman,Alan Pottinger,Julie Hagerty,Sarah Fearon,Jad Mager;;https://www.rottentomatoes.com/m/reversal_of_fortune
Presumed Innocent;;67;;87;;R;;Prosecuting attorney Raymond Horgan (Brian Dennehy) assigns his chief deputy, the taciturn Rusty Sabitch (Harrison Ford), to investigate the rape and murder of colleague Carolyn Polhemus (Greta Scacchi), unaware of their torrid affair. When evidence implicates Rusty, Horgan's political enemies demand his arrest, devastating Rusty's wife, Barbara (Bonnie Bedelia). In desperation, Rusty turns to crafty defense attorney Sandy Stein (Raul Julia), only to be stunned by his trial's revelations.;;Mystery & thriller;;Alan J. Pakula;;1990;;Harrison Ford,Brian Dennehy,Raul Julia,Bonnie Bedelia,Paul Winfield,Greta Scacchi,John Spencer,Joe Grifasi,Sab Shimono,Jesse Bradford;;https://www.rottentomatoes.com/m/presumed_innocent
La Femme Nikita;;84;;89;;R;;Convicted felon Nikita (Anne Parillaud), instead of going to jail, is given a new identity and trained to be a secret police assassin controlled by the government. Her lonely life is warmed when she falls in love with a man who knows nothing of her mysterious life.;;Mystery & thriller,Action;;Luc Besson;;1990;;Anne Parillaud,Jean-Hugues Anglade,Tchéky Karyo,Jeanne Moreau,Jean Reno,Jean Bouise,Marc Duret,Patrick Fontana;;https://www.rottentomatoes.com/m/la_femme_nikita
The Grifters;;70;;91;;R;;Hard-as-nails Lily Dillon (Anjelica Huston) works as a swindler for dangerous bookie Bobo (Pat Hingle), probably the only man she fears. Arriving in Los Angeles on "business," Lily looks up her son, Roy (John Cusack), a small-time con artist content with paltry sleight-of-hand cheats. Roy's girlfriend, Myra (Annette Bening), looks like an All-American type but is a grifter looking to pull off another big-time con. The convergence of the three hustlers inevitably means trouble for all of them.;;Drama,Crime;;Stephen Frears;;1990;;John Cusack,Anjelica Huston,Annette Bening,Pat Hingle,J.T. Walsh,Charles Napier,Henry Jones,Michael Laskin,Eddie Jones;;https://www.rottentomatoes.com/m/grifters
Cry Baby;;77;;73;;PG-13;;A prim and proper schoolgirl goes against her mother's wishes when she dates a motorcycle-riding juvenile delinquent.;;Comedy,Musical;;John Waters;;1990;;Johnny Depp,Amy Locane,Susan Tyrrell,Polly Bergen,Iggy Pop,Ricki Lake,Traci Lords,Kim McGuire,Darren E. Burrows;;https://www.rottentomatoes.com/m/cry-baby
Back to the Future Part III;;78;;80;;PG;;In this final chapter, Marty McFly (Michael J. Fox) obtains a 70-year-old message from the time-traveling Dr. Emmett Brown (Christopher Lloyd), in which he informs Marty that he has retired to a small town in the Old West. Marty then finds out that the Doc was murdered shortly after sending the letter. In order to save his friend, Marty will have to travel back in time, disentangle a lovestruck Doc from a local schoolmarm, and repair the DeLorean -- all while avoiding a posse of gunslingers.;;Adventure,Fantasy,Sci-fi,Comedy,Western;;Robert Zemeckis;;1990;;Michael J. Fox,Christopher Lloyd,Mary Steenburgen,Tom Wilson,Lea Thompson,Elisabeth Shue,Matt Clark,Richard Dysart,James Tolkan,Pat Buttram,Harry Carey Jr.,Dub Taylor,Christopher Wynne,Sean Sullivan,Mike Watson;;https://www.rottentomatoes.com/m/back_to_the_future_3
The Hunt for Red October;;88;;88;;PG;;Based on the popular Tom Clancy novel, this suspenseful movie tracks Soviet submarine captain Marko Ramius (Sean Connery) as he abandons his orders and heads for the east coast of the United States. Equipped with innovative stealth technology, Ramius' submarine, "Red October," is virtually invisible. However, when an American sub briefly detects the Russians' presence, CIA agent Jack Ryan (Alec Baldwin) sets out to determine Ramius' motives, fearing he may launch an attack on the U.S.;;Action,Mystery & thriller,Adventure;;John McTiernan;;1990;;Sean Connery,Alec Baldwin,Scott Glenn,Sam Neill,James Earl Jones,Joss Ackland,Richard Jordan,Peter Firth,Tim Curry,Courtney B. Vance,Stellan Skarsgård,Jeffrey Jones,Fred Dalton Thompson,Daniel Davis,Tomas Arana;;https://www.rottentomatoes.com/m/hunt_for_red_october
Goodfellas;;97;;96;;R;;A young man grows up in the mob and works very hard to advance himself through the ranks. He enjoys his life of money and luxury, but is oblivious to the horror that he causes. A drug addiction and a few mistakes ultimately unravel his climb to the top. Based on the book "Wiseguy" by Nicholas Pileggi.;;Drama,Crime;;Martin Scorsese;;1990;;Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino,Frank Sivero,Tony Darrow,Mike Starr,Frank Vincent,Chuck Low,Frank DiLeo,Christopher Serrone;;https://www.rottentomatoes.com/m/1032176-goodfellas
Tremors;;75;;86;;PG-13;;Repairmen Val McKee (Kevin Bacon) and Earl Bassett (Fred Ward) are tired of their dull lives in the small desert town of Perfection, Nev. But just as the two try to skip town, they happen upon a series of mysterious deaths and a concerned seismologist (Finn Carter) studying unnatural readings below the ground. With the help of an eccentric couple (Reba McEntire, Michael Gross), the group fights for survival against giant, worm-like monsters hungry for human flesh.;;Horror;;Ron Underwood;;1990;;Kevin Bacon,Fred Ward,Finn Carter,Michael Gross,Reba McEntire,Robert Jayne,Charlotte Stewart,Tony Genaros,Victor Wong;;https://www.rottentomatoes.com/m/tremors
Gremlins 2: The New Batch;;57;;71;;PG-13;;The magical collectibles store that Gizmo calls home has just been destroyed, and the tiny monster finds his way into a newly erected skyscraper. Billy Peltzer (Zach Galligan) and his bride-to-be, Kate (Phoebe Cates), who have previously dealt with Gremlins run amok, discover that Gizmo and an impish legion of reptilian pals are inhabiting the downtown building. The couple tries to stop the creatures from escaping into New York City, but this new batch of beasts might be uncontrollable.;;Fantasy,Comedy;;Joe Dante;;1990;;Zach Galligan,Phoebe Cates,John Glover,Robert Prosky,Robert Picardo,Christopher Lee,Haviland Morris,Dick Miller,Jackie Joseph,Gedde Watanabe,Keye Luke,Kathleen Freeman;;https://www.rottentomatoes.com/m/gremlins_2_the_new_batch
Flatliners;;59;;48;;R;;Seeking answers about the afterlife, Chicago medical student Nelson (Kiefer Sutherland) persuades his fellow pupils to help him end his life, and then resuscitate him in the nick of time. Atheist David (Kevin Bacon), playboy Joe (William Baldwin) and troubled Rachel (Julia Roberts) also journey into the unknown, looking for meaning in their own lives. As the experiments become more perilous, each is forced to contend with the paranormal consequences of trespassing on the other side.;;Sci-fi;;Joel Schumacher;;1990;;Kiefer Sutherland,Julia Roberts,Kevin Bacon,William Baldwin,Oliver Platt,Kimberly Scott,Joshua Rudoy,Benjamin Mouton,Hope Davis;;https://www.rottentomatoes.com/m/flatliners
Ghost;;80;;75;;PG-13;;Sam Wheat (Patrick Swayze) is a banker, Molly Jensen (Demi Moore) is an artist, and the two are madly in love. However, when Sam is murdered by friend and corrupt business partner Carl Bruner (Tony Goldwyn) over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown (Whoopi Goldberg) to set things right and protect Molly from Carl and his goons.;;Fantasy,Romance;;Jerry Zucker;;1990;;Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn,Rick Aviles,Gail Boggs,Armelia McQueen,Vincent Schiavelli;;https://www.rottentomatoes.com/m/1031086-ghost
The Godfather, Coda: The Death of Michael Corleone;;74;;87;;NC;;NC;;Crime,Drama;;Francis Ford Coppola;;1990;;Al Pacino,Diane Keaton,Talia Shire,Andy Garcia,Eli Wallach,Joe Mantegna,George Hamilton,Bridget Fonda,Sofia Coppola,Raf Vallone,Franc D'Ambrosio,Donal Donnelly,Richard Bright,Helmut Berger,Don Novello,John Savage,Franco Citti,Mario Donatone,Vittorio Duse,Enzo Robutti;;https://www.rottentomatoes.com/m/the_godfather_coda_the_death_of_michael_corleone
The Freshman;;61;;94;;PG;;Clark Kellogg (Matthew Broderick) is robbed moments after arriving in New York, so when he sees his mugger several days later, he confronts him. The man promises to return his property and get him a job with his uncle, Carmine Sabatini (Marlon Brando), who turns out to be a Mafia boss. As Clark continues his shady work for Carmine, he discovers an elaborate underworld that has caught the attention of the authorities. As things come to a head, not everything is what it seems.;;Comedy;;Andrew Bergman;;1990;;Marlon Brando,Matthew Broderick,Bruno Kirby,Penelope Ann Miller,Frank Whaley,Jon Polito,Paul Benedict,Richard Gant,Kenneth Welsh,Pamela Payton-Wright,BD Wong;;https://www.rottentomatoes.com/m/10009001-the_freshman
Misery;;89;;90;;R;;After a serious car crash, novelist Paul Sheldon (James Caan) is rescued by former nurse Annie Wilkes (Kathy Bates), who claims to be his biggest fan. Annie brings him to her remote cabin to recover, where her obsession takes a dark turn when she discovers Sheldon is killing off her favorite character from his novels. As Sheldon devises plans for escape, Annie grows increasingly controlling, even violent, as she forces the author to shape his writing to suit her twisted fantasies.;;Horror,Mystery & thriller;;Rob Reiner;;1990;;James Caan,Kathy Bates,Frances Sternhagen,Richard Farnsworth,Lauren Bacall,Graham Jarvis,J.T. Walsh,June Christopher;;https://www.rottentomatoes.com/m/misery
Teenage Mutant Ninja Turtles;;81;;41;;PG;;In New York, mysterious radioactive ooze has mutated four sewer turtles into talking, upright-walking, crime-fighting ninjas. The intrepid heroes -- Michelangelo (Robbie Rist), Donatello (Corey Feldman), Raphael (Josh Pais) and Leonardo (Brian Tochi) -- are trained in the Ninjutsu arts by their rat sensei, Splinter. When a villainous rogue ninja, who is a former pupil of Splinter, arrives and spreads lawlessness throughout the city, it's up to the plucky turtles to stop him.;;Fantasy,Kids & family,Adventure;;Steve Barron;;1990;;Judith Hoag,Elias Koteas,Josh Pais,Michelan Sisti,Leif Tilden,David Forman,Michael Turney,Jay Patterson,James Saito,Toshishiro Obata,Robbie Rist,Corey Feldman,Brian Tochi;;https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_the_movie
Darkman;;59;;83;;R;;When thugs employed by a crime boss lead a vicious assault on Dr. Peyton Wilder (Liam Neeson), leaving him literally and psychologically scarred, an emergency procedure allows him to survive. Upon his recovery, Wilder can find solace only by returning to his scientific work developing synthetic skin, and seeking revenge against the crime boss. He assumes a phantom avenger persona called Darkman, who, with malleable facial qualities, is able to infiltrate and sow terror in the criminal community.;;Action,Mystery & thriller;;Sam Raimi;;1990;;Liam Neeson,Frances McDormand,Colin Friels,Larry Drake,Nelson Mashita,Jesse Lawrence Ferguson,Rafael Robledo,Dan Hicks,Ted Raimi,Dan Bell,Nicholas Worth,Bruce Campbell,Jenny Agutter;;https://www.rottentomatoes.com/m/darkman
The Exorcist III;;56;;59;;R;;Police Lt. Kinderman (George C. Scott) notices similarities between his current murder investigation and the methods used by the "Gemini" killer (Brad Dourif) who was executed 15 years before. He soon discovers a hospitalized mental patient (Jason Miller) claiming to be the dead serial killer, but who looks uncannily like a priest Kinderman knew who died during an exorcism. As more bodies are found, Kinderman looks for connections between the two supposedly dead men.;;Horror;;William Peter Blatty;;1990;;George C. Scott,Ed Flanders,Brad Dourif,Jason Miller,Nicol Williamson,Scott Wilson,Nancy Fish,George Di Cenzo,Viveca Lindfors;;https://www.rottentomatoes.com/m/exorcist_3
The Witches;;70;;93;;PG;;While staying at a hotel in England with his grandmother, Helga (Mai Zetterling), young Luke (Jasen Fisher) inadvertently spies on a convention of witches. The Grand High Witch (Anjelica Huston) reveals a plan to turn all children into mice through a magical formula. When they find that Luke has overheard, the witches test the formula on him. Now, with the help of Helga and the hotel manager, Mr. Stringer (Rowan Atkinson), Luke the mouse must fight back against the witches.;;Fantasy,Kids & family,Adventure;;Nicolas Roeg;;1990;;Anjelica Huston,Mai Zetterling,Jasen Fisher,Rowan Atkinson,Bill Paterson,Brenda Blethyn,Jane Horrocks,Anne Lambton,Sukie Smith,Rose English,Jenny Runacre,Annabel Brooks,Emma Relph,Nora Connolly,Rosamund Greenwood,Angelique Rockas;;https://www.rottentomatoes.com/m/the_witches
The Godfather, Part III;;61;;68;;R;;As Michael Corleone (Al Pacino) ages, he finds that being the head of the Corleone crime family isn't getting any easier. He wants his family out of the Mafia, but the mob kingpin (Eli Wallach) isn't eager to let one of the most powerful and wealthy families go legit. Making matters even worse is Michael's nephew, Vincent (Andy Garcia). Not only does Vincent want a piece of the Corleone family's criminal empire, but he also wants Michael's daughter, Mary (Sofia Coppola).;;Crime,Drama;;Francis Ford Coppola;;1990;;Al Pacino,Diane Keaton,Talia Shire,Andy Garcia,Eli Wallach,Joe Mantegna,George Hamilton,Bridget Fonda,Sofia Coppola,Raf Vallone,Franc D'Ambrosio,Donal Donnelly,Richard Bright,Helmut Berger,Don Novello,John Savage,Franco Citti,Mario Donatone,Vittorio Duse,Enzo Robutti;;https://www.rottentomatoes.com/m/godfather_part_iii
Home Alone;;80;;68;;PG;;When bratty 8-year-old Kevin McCallister (Macaulay Culkin) acts out the night before a family trip to Paris, his mother (Catherine O'Hara) makes him sleep in the attic. After the McCallisters mistakenly leave for the airport without Kevin, he awakens to an empty house and assumes his wish to have no family has come true. But his excitement sours when he realizes that two con men (Joe Pesci, Daniel Stern) plan to rob the McCallister residence, and that he alone must protect the family home.;;Other,Comedy,Kids & family;;Chris Columbus;;1990;;Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,John Heard,Roberts Blossom,John Candy,Angela Goethals,Devin Ratray,Gerry Bamman;;https://www.rottentomatoes.com/m/home_alone
Days of Thunder;;60;;38;;PG-13;;In the fast-paced world of NASCAR, a rivalry brews between rookie hotshot Cole Trickle (Tom Cruise) and veteran racer Rowdy Burns (Michael Rooker). When both of them are seriously injured in competition, the former bitter rivals become close friends. With Cole's spirits restored by a romance with neurosurgeon Dr. Claire Lewicki (Nicole Kidman), and Rowdy still sidelined by injuries, Cole decides to race Rowdy's car in the Daytona 500 against underhanded newcomer Russ Wheeler (Cary Elwes).;;Action;;Tony Scott;;1990;;Tom Cruise,Robert Duvall,Nicole Kidman,Randy Quaid,Michael Rooker,Cary Elwes,Fred Dalton Thompson,John C. Reilly,J.C. Quinn,Don Simpson,James Martin Jr.;;https://www.rottentomatoes.com/m/days_of_thunder
Jacob's Ladder;;84;;73;;R;;After returning home from the Vietnam War, veteran Jacob Singer (Tim Robbins) struggles to maintain his sanity. Plagued by hallucinations and flashbacks, Singer rapidly falls apart as the world and people around him morph and twist into disturbing images. His girlfriend, Jezzie (Elizabeth Peña), and ex-wife, Sarah (Patricia Kalember), try to help, but to little avail. Even Singer's chiropractor friend, Louis (Danny Aiello), fails to reach him as he descends into madness.;;Drama,Horror,Mystery & thriller;;Adrian Lyne;;1990;;Tim Robbins,Elizabeth Peña,Danny Aiello,Matt Craven,Pruitt Taylor Vince,Jason Alexander,Patricia Kalember,Eriq La Salle,Ving Rhames,Brian Tarantina,Anthony Alessandro,Brent Hinkley,Macaulay Culkin;;https://www.rottentomatoes.com/m/jacobs_ladder
The Bonfire of the Vanities;;26;;16;;R;;In this adaptation of the Tom Wolfe novel, powerful Wall Street executive Sherman McCoy (Tom Hanks) is riding with his greedy girlfriend, Maria (Melanie Griffith), when she makes a wrong turn and winds up in the Bronx. There, she runs over a black boy and drives off without reporting it. When alcoholic tabloid reporter Peter Fallow (Bruce Willis) discovers the story, he knows it will be scandalous and riles up New Yorkers with his coverage of the case, which soon goes to trial.;;Drama,Comedy;;Brian De Palma;;1990;;Tom Hanks,Bruce Willis,Melanie Griffith,Kim Cattrall,Saul Rubinek,Morgan Freeman,F. Murray Abraham,John Hancock,Kevin Dunn,Clifton James,Louis Giambalvo,Barton Heyman,Norman Parker,Donald Moffat,Alan King,Beth Broderick,Kurt Fuller,Adam LeFevre,Richard Libertini,Andre Gregory;;https://www.rottentomatoes.com/m/bonfire_of_the_vanities
Edward Scissorhands;;91;;90;;PG-13;;A scientist (Vincent Price) builds an animated human being -- the gentle Edward (Johnny Depp). The scientist dies before he can finish assembling Edward, though, leaving the young man with a freakish appearance accentuated by the scissor blades he has instead of hands. Loving suburban saleswoman Peg (Dianne Wiest) discovers Edward and takes him home, where he falls for Peg's teen daughter (Winona Ryder). However, despite his kindness and artistic talent, Edward's hands make him an outcast.;;Romance,Other,Fantasy,Drama,Comedy;;Tim Burton;;1990;;Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,Alan Arkin,Kathy Baker,Robert Oliveri,Conchata Ferrell,Vincent Price;;https://www.rottentomatoes.com/m/edward_scissorhands
Dances With Wolves;;87;;83;;PG-13;;A Civil War soldier develops a relationship with a band of Lakota Indians. Attracted by the simplicity of their lifestyle, he chooses to leave his former life behind to be with them. Having observed him, they give the name Dances With Wolves. Soon he is a welcomed member of the tribe and falls in love with a white woman who has been raised in the tribe. Tragedy results when Union soldiers arrive with designs on the land.;;History,Western,Drama;;Kevin Costner;;1990;;Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,Floyd "Red Crow" Westerman,Tantoo Cardinal,Robert Pastorelli,Charles Rocket,Maury Chaykin,Larry Joshua,Wes Studi,Jimmy Herman,Tom Everett;;https://www.rottentomatoes.com/m/dances_with_wolves
Arachnophobia;;54;;93;;PG-13;;After a nature photographer (Mark L. Taylor) dies on assignment in Venezuela, a poisonous spider hitches a ride in his coffin to his hometown in rural California, where arachnophobe Dr. Ross Jennings (Jeff Daniels) has just moved in with his wife, Molly (Harley Jane Kozak), and young son. As town residents start turning up dead, Jennings begins to suspect spiders, and must face his fears as he and no-nonsense exterminator Delbert McClintock (John Goodman) fight to stop a deadly infestation.;;Comedy,Mystery & thriller;;Frank Marshall;;1990;;Jeff Daniels,Harley Jane Kozak,John Goodman,Julian Sands,Stuart Pankin,Brian McNamara,Mark L. Taylor,Henry Jones,Peter Jason,James Handy,Roy Brocksmith,Kathy Kinney,Mary Carver;;https://www.rottentomatoes.com/m/arachnophobia
Metropolitan;;85;;93;;PG-13;;A radical student is adopted by a group of young New Yorkers, serves as a catalyst to alter his and their lives. Gathering in a Manhattan apartment, the group of friends meet to discuss social mobility, Fourier's socialism and play bridge in their cocoon of upper-class society - until they are joined by a man with a critical view of their way of life.;;Drama,Comedy;;Whit Stillman;;1990;;Carolyn Farina,Edward Clements,Chris Eigeman,Taylor Nichols,Allison Parisi,Dylan Hundley,Isabel Gillies,Bryan Leder,Will Kempe,Ellia Thompson;;https://www.rottentomatoes.com/m/metropolitan
Die Hard 2;;70;;69;;R;;A year after his heroics in L.A, detective John McClane (Bruce Willis) is mixed up in another terrorist plot, this time at Washington Dulles International Airport, where he is waiting for his wife (Bonnie Bedelia). That same night, South American politico and drug profiteer Ramon Esperanza (Franco Nero) is arriving in U.S. custody. McClane takes action when a treasonous ex-colonel (William Sadler) seizes control of the airport, threatening to crash every inbound flight unless Esperanza is freed.;;Action,Mystery & thriller;;Renny Harlin;;1990;;Bruce Willis,Bonnie Bedelia,William Atherton,Reginald VelJohnson,Franco Nero,William Sadler,John Amos,Dennis Franz,Art Evans,Fred Dalton Thompson,Tom Bower,Sheila McCarthy,Don Harvey;;https://www.rottentomatoes.com/m/die_hard_2_1990
Wild at Heart;;81;;68;;R;;After serving prison time for a self-defense killing, Sailor Ripley (Nicolas Cage) reunites with girlfriend Lula Fortune (Laura Dern). Lula's mother, Marietta (Diane Ladd), desperate to keep them apart, hires a hit man to kill Sailor. But he finds a whole new set of troubles when he and Bobby Peru (Willem Dafoe), an old buddy who's also out to get Sailor, try to rob a store. When Sailor lands in jail yet again, the young lovers appear further than ever from the shared life they covet.;;Drama;;David Lynch;;1990;;Nicolas Cage,Laura Dern,Diane Ladd,Willem Dafoe,Isabella Rossellini,Harry Dean Stanton,Crispin Glover,Grace Zabriskie,J.E. Freeman,William Morgan Sheppard;;https://www.rottentomatoes.com/m/wild_at_heart
Total Recall;;78;;82;;R;;Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars. He visits "Rekall," a company that plants false memories into people's brains, in order to experience the thrill of Mars without having to travel there. But something goes wrong during the procedure; Quaid discovers that his entire life is actually a false memory and that the people who implanted it in his head now want him dead.;;Action,Sci-fi;;Paul Verhoeven;;1990;;Arnold Schwarzenegger,Rachel Ticotin,Sharon Stone,Ronny Cox,Michael Ironside,Marshall Bell,Mel Johnson Jr.,Michael Champion,Roy Brocksmith,Ray Baker,Rosemary Dunsmore,Priscilla Allen;;https://www.rottentomatoes.com/m/total_recall
Dick Tracy;;53;;63;;PG;;Hard-boiled detective Dick Tracy (Warren Beatty) is searching for evidence that proves Alphonse "Big Boy" Caprice is the city's most dangerous crime boss. He may have found the key to unraveling the crimelord's illegal empire in Breathless Mahoney (Madonna), an enigmatic barroom singer who has witnessed some of Caprice's crimes firsthand. However, she seems more set on stealing Dick away from his girlfriend, Tess (Glenne Headly), than helping him solve the case of his career.;;Drama,Action,Crime;;Warren Beatty;;1990;;Warren Beatty,Madonna,Charlie Korsmo,Glenne Headly,Al Pacino,Dustin Hoffman,William Forsythe,Charles Durning,Mandy Patinkin,Paul Sorvino,R. G. Armstrong,Dick Van Dyke,Ed O'Ross;;https://www.rottentomatoes.com/m/1029314-dick_tracy
Pretty Woman;;68;;65;;R;;In this modern update on Cinderella, a prostitute and a wealthy businessman fall hard for one another, forming an unlikely pair. While on a business trip in L.A., Edward (Richard Gere), who makes a living buying and breaking up companies, picks up a hooker, Vivian (Julia Roberts), on a lark. After Edward hires Vivian to stay with him for the weekend, the two get closer, only to discover there are significant hurdles to overcome as they try to bridge the gap between their very different worlds.;;Comedy,Romance;;Garry Marshall;;1990;;Richard Gere,Julia Roberts,Ralph Bellamy,Jason Alexander,Laura San Giacomo,Héctor Elizondo,Alex Hyde-White,Amy Yasbeck,Patrick Richwood,Larry Miller,Elinor Donahue;;https://www.rottentomatoes.com/m/pretty_woman
Miller's Crossing;;90;;92;;R;;When the Italian Mafia threatens to kill a crooked bookie (John Turturro), Irish mob boss Leo O'Bannon (Albert Finney) refuses to allow it, chiefly because he's dating the bookie's sister, crafty gun moll Verna Bernbaum (Marcia Gay Harden). Leo's right-hand man, Tom Reagan (Gabriel Byrne), is also seeing Verna on the sly, and when he's found out is obliged to switch sides, going to work for the Italian mob amidst a dramatically escalating gang war over liquor distribution.;;Drama,Crime;;Joel Coen,Ethan Coen;;1990;;Gabriel Byrne,Albert Finney,Marcia Gay Harden,Jon Polito,John Turturro,J.E. Freeman,Mike Starr,Al Mancini;;https://www.rottentomatoes.com/m/millers_crossing
Paris Is Burning;;89;;98;;R;;This documentary focuses on drag queens living in New York City and their "house" culture, which provides a sense of community and support for the flamboyant and often socially shunned performers. Groups from each house compete in elaborate balls that take cues from the world of fashion. Also touching on issues of racism and poverty, the film features interviews with a number of renowned drag queens, including Willi Ninja, Pepper LaBeija and Dorian Corey.;;Documentary,Lgbtq+;;Jennie Livingston;;1991;;André Christian,Freddie Pendavis,Willi Ninja,Pepper LaBeija,Junior Labeija,Shari Headley,Paris Duprée,Dorian Corey;;https://www.rottentomatoes.com/m/paris_is_burning
Thelma &amp; Louise;;82;;85;;R;;Meek housewife Thelma (Geena Davis) joins her friend Louise (Susan Sarandon), an independent waitress, on a short fishing trip. However, their trip becomes a flight from the law when Louise shoots and kills a man who tries to rape Thelma at a bar. Louise decides to flee to Mexico, and Thelma joins her. On the way, Thelma falls for sexy young thief J.D. (Brad Pitt) and the sympathetic Detective Slocumb (Harvey Keitel) tries to convince the two women to surrender before their fates are sealed.;;Drama,Comedy,Adventure;;Ridley Scott;;1991;;Susan Sarandon,Geena Davis,Harvey Keitel,Michael Madsen,Christopher McDonald,Brad Pitt;;https://www.rottentomatoes.com/m/thelma_and_louise
Only Yesterday;;81;;100;;NC;;A put-upon 27-year-old Japanese office worker travels to the countryside and reminisces about her childhood in Tokyo and what life could have been.;;Drama,Anime;;Isao Takahata;;1991;;Daisy Ridley,Dev Patel,Ashley Eckstein,Alison Fernandez;;https://www.rottentomatoes.com/m/only_yesterday_1991
Bugsy;;69;;84;;R;;New York mobster Benjamin "Bugsy" Siegel (Warren Beatty) leaves New York City to dip into the glamour of Hollywood, Calif., and to build up syndicate gambling rackets. Bowled over by actress Virginia Hill (Annette Bening), the dapper Siegel courts her, despite having a wife and children. Obsessed with creating a gambling haven, Siegel takes racketeering to the Nevada desert and helps develop Las Vegas, only to find himself in deep water over his reckless construction of the Flamingo Hotel.;;Drama,Crime,Biography;;Barry Levinson;;1991;;Warren Beatty,Annette Bening,Harvey Keitel,Ben Kingsley,Elliott Gould,Joe Mantegna,Bebe Neuwirth,Wendy Phillips,Allen Smithee,Lewis Van Bergen,Bill Graham,Andy Romano,Robert Beltran,Gian-Carlo Scandiuzzi,Stefanie Mason,Kimberly McCullough,Joseph Roman,James Toback;;https://www.rottentomatoes.com/m/bugsy
